0 -120.2
1 -112.7
2 -104.4
3 -96.9
4 -88.6
5 -81.1
6 -72.8
7 -65.3
8 -57
9 -49.5
10 -40.4
11 -31.7
12 -22.6
13 -13.9
14 -4.8
15 3.9
16 13
17 21.7
18 30.8
19 39.5
20 50
21 60.7
22 71.2
23 81.9
24 92.4
25 103.1
26 113.6
27 124.3
