1.8675,1.93813,0,
0.941529,0.933058,1,
0.69843,0.405003,2,
0.588952,0.237813,3,
0.569504,0.192319,4,
0.562891,0.183796,5,
0.541486,0.173599,6,
0.546841,0.18362,7,
0.522974,0.199887,8,
0.519513,0.208927,9,
0.502548,0.24153,10,
0.515658,0.269721,11,
0.519991,0.309713,12,
0.544462,0.406179,13,
0.624508,0.578275,14,
0.787187,0.806837,15,
1.03622,1.09947,16,
1.46129,1.51194,17,
1.85882,1.88294,18,
2.2493,2.28519,19,
2.55963,2.55944,20,
2.73006,2.75543,21,
2.91916,2.9305,22,
2.98098,2.98908,23,
2.94578,2.94578,24,
2.999,2.999,25,
2.99893,2.99928,26,
2.49885,2.34885,27,
