0.54035,0.386842,0,
0.453317,0.13665,1,
0.513914,0.260203,2,
0.614681,0.142248,3,
0.524786,0.1597,4,
0.5868,0.144784,5,
0.538023,0.194363,6,
0.547937,0.161698,7,
0.5147,0.185149,8,
0.517417,0.18347,9,
0.500772,0.190728,10,
0.484991,0.242027,11,
0.50898,0.249592,12,
0.518033,0.33725,13,
0.477591,0.309921,14,
0.539756,0.376114,15,
0.562129,0.37566,16,
0.572538,0.466488,17,
0.640187,0.561917,18,
0.758019,0.566038,19,
0.739738,0.696268,20,
0.719675,0.879783,21,
0.563475,0.77695,22,
0.483575,0.91715,23,
0.59395,0.797983,24,
0.70245,0.65245,25,
1e+07,1e+07,26,
1e+07,1e+07,27,
