0.667665,0.351831,1,
0.607636,0.183066,2,
0.54963,0.173379,3,
0.579656,0.159082,4,
0.548637,0.168923,5,
0.547993,0.165208,6,
0.543895,0.181237,7,
0.543769,0.194054,8,
0.511194,0.234673,9,
0.511893,0.266813,10,
0.514434,0.327392,11,
0.534443,0.40381,12,
0.637665,0.623627,13,
0.748733,0.759603,14,
0.964178,1.05974,15,
1.38924,1.45927,16,
1.73794,1.76632,17, 
2.08476,2.0998,18,
2.37447,2.38488,19,
2.63418,2.65896,20,
2.77303,2.76003,21,
2.94005,2.90864,22,
2.99536,2.92629,23, 
2.44778,2.49889,24,
2.4611,2.4111,25,
3.2647,2.8647,26,
