0.57695,0.488475,0,
0.594817,0.348889,1,
0.654687,0.313021,2,
0.595886,0.165389,3,
0.564908,0.230636,4,
0.610354,0.139741,5,
0.579668,0.185765,6,
0.571985,0.146944,7,
0.547596,0.178312,8,
0.543007,0.158878,9,
0.543642,0.185667,10,
0.540354,0.185522,11,
0.531118,0.220057,12,
0.511431,0.246006,13,
0.519993,0.270915,14,
0.528083,0.309334,15,
0.528213,0.320029,16,
0.554618,0.413433,17,
0.568189,0.408066,18,
0.599015,0.484045,19,
0.672442,0.541876,20,
0.722468,0.612962,21,
0.737058,0.623218,22,
0.787238,0.896279,23,
0.737,0.688154,24,
0.724213,0.799475,25,
0.698643,1.09683,26,
0.8397,0.9647,27,
