4.43289,3.94445,0,
2.9504,0.655708,1,
3.23952,0.672433,2,
2.03355,0.422523,3,
2.43523,0.387597,4,
1.6794,0.424675,5,
1.91254,0.342036,6,
1.47256,0.363247,7,
1.66512,0.306853,8,
1.41972,0.361149,9,
1.49877,0.336895,10,
1.47693,0.435031,11,
1.48796,0.423049,12,
1.61063,0.572759,13,
1.63231,0.597439,14,
1.93604,0.932096,15,
1.91314,0.842017,16,
2.22531,1.2867,17,
2.26833,1.34888,18,
2.46338,1.30315,19,
2.58571,1.99428,20,
2.79558,2.22352,21,
3.0937,2.57388,22,
3.43445,3.04695,23,
3.43603,3.45405,24,
4.12388,3.71865,25,
4.1418,3.49727,26,
1e+07,1e+07,27,
