4.32966,2.98992,0,
3.51614,2.18491,1,
2.95973,1.71347,2,
2.47884,1.44116,3,
2.19237,1.21035,4,
1.91579,1.02496,5,
1.73909,0.890793,6,
1.58822,0.865631,7,
1.52801,0.839588,8,
1.47972,0.839982,9,
1.46325,0.892374,10,
1.50921,0.934141,11,
1.53053,0.958128,12,
1.6279,1.0689,13,
1.72965,1.21515,14,
1.89355,1.34532,15,
2.01883,1.49756,16,
2.2009,1.62763,17,
2.33268,1.98646,18,
2.46962,2.14622,19,
2.68321,2.40272,20,
2.91678,2.49138,21,
3.31721,2.94672,22,
3.52407,3.09882,23,
3.56021,3.26514,24,
3.92355,3.70344,25,
4.17285,3.47393,26,
4.44215,4.0843,27,
